,电影名称,年份,年度票房,国家地区,主类型,作品类型,片长,导演,演员
13,人再囧途之泰囧,2012,100302.94,中国,喜剧,喜剧/公路,105,徐峥,徐峥/王宝强/黄渤/陶虹
14,人潮汹涌,2021,76247.97,中国,剧情,剧情/喜剧/犯罪,119,饶晓志,刘德华/肖央/万茜/程怡/戴军/狄志杰
15,人生大事,2022,171315.77,中国,剧情,剧情/家庭,112,刘江江,朱一龙/杨恩又/王戈/刘陆/罗京民/郑卫莉/陈创
16,人生路不熟,2023,118561.06,中国,喜剧,喜剧,100,易小星,乔杉/范丞丞/马丽/张婧仪/常远/田雨
17,从你的全世界路过,2016,81417.49,中国,爱情,爱情/喜剧,113,张一白,白百何/邓超/张天爱/杨洋
18,你好，李焕英,2021,541329.98,中国,喜剧,喜剧/亲情,128,贾玲,贾玲/张小斐/沈腾/陈赫/魏翔
19,你的婚礼,2021,78925.98,中国,爱情,爱情/青春,115,韩天,许光汉/章若楠/丁冠森/晏紫东
20,侏罗纪世界,2015,142069.73,美国,动作,动作/冒险/科幻/惊悚,124,胡安·安东尼奥·巴亚纳,劳拉·邓恩/克里斯·帕拉特/泰·辛普金斯
21,侏罗纪世界2,2018,169587.75,美国,动作,动作/科幻/冒险,128,J·A·巴亚纳,克里斯·帕拉特/布莱丝·达拉斯·霍./杰夫·高布伦/黄荣亮
22,侏罗纪世界3,2022,105993.35,美国,动作,动作/科幻/冒险/惊悚,147,科林·特莱沃若/科林·特莱沃若,克里斯·帕拉特/布莱丝·达拉斯·霍华德/杰夫·高布伦/劳拉·邓恩/山姆·尼尔
23,侏罗纪公园,2013,34886.36,美国,科幻,科幻/动作/冒险/惊悚,127,史蒂文·斯皮尔伯格,山姆·尼尔/劳拉·邓恩/杰夫·高布伦/理查德·阿滕伯勒
24,信条,2020,45507.28,美国/英国,科幻,科幻/动作/剧情,151,克里斯托弗·诺兰/乌迪安·贝加尔,约翰·大卫·华盛顿/罗伯特·帕丁森/伊丽莎白·德比齐/肯尼思·布拉纳/迈克尔·凯恩
25,八佰,2020,310232.36,中国,战争,战争/历史/主旋律,147,管虎,姜武/张译/王千源/黄志忠/张俊一/欧豪
26,八角笼中,2023,220871.45,中国,剧情,剧情/动作,117,王宝强,王宝强/陈永胜/史彭元/王迅
27,冰川时代4:大陆漂移,2012,44742.86,美国,动画,动画,94,史蒂夫·马蒂诺/麦克·特米尔,西恩·威廉·斯科特/彼特·丁拉基/詹妮弗·洛佩兹/艾伦·图代克
28,分手大师,2014,66540.26,中国,喜剧,喜剧/爱情,114,邓超/俞白眉,杨幂/邓超/孙俪/梁超
29,刺杀小说家,2021,103520.56,中国,奇幻,奇幻/动作/悬疑/冒险,130,路阳,雷佳音/杨幂/董子健/于和伟/郭京飞/佟丽娅
30,前任3:再见前任,2018,164667.27,中国,爱情,爱情/喜剧,120,田羽生,韩庚/郑恺/于文文/曾梦雪
31,前任4:英年早婚,2023,101087.75,中国,爱情,爱情/喜剧,129,田羽生,韩庚/郑恺/于文文/刘雅瑟
32,功夫熊猫3,2016,100199.8,中国/美国,动画,动画/动作/冒险/喜剧,95,吕寅荣/亚历山德罗·卡罗尼/滕华涛,杰克·布莱克/安吉丽娜·朱莉/达斯汀·霍夫曼/塞斯·罗根
33,功夫瑜伽,2017,175259.36,中国/印度,喜剧,喜剧/动作/冒险,108,唐季礼,成龙/李治廷/张艺兴/曾志伟
34,加勒比海盗5:死无对证,2017,117990.97,美国,动作,动作/奇幻/冒险,129,乔阿吉姆·罗恩尼/艾斯彭·山德伯格,约翰尼·德普/哈维尔·巴登/卡雅·斯考达里奥/布兰顿·思怀兹/奥兰多·布鲁姆
35,匆匆那年,2014,58161.86,中国,爱情,爱情/青春,100,张一白/李晗/刘晗,倪妮/彭于晏/魏晨/张子萱
36,北京遇上西雅图,2013,51974.54,中国,爱情,爱情/喜剧,123,薛晓路,吴秀波/汤唯/海清/买红妹/金燕玲
37,北京遇上西雅图之不二情书,2016,78674.64,中国,爱情,爱情/喜剧,129,薛晓路,汤唯/吴秀波/秦沛/惠英红
38,十二生肖,2012,88115.12,中国,动作,动作/冒险/喜剧,122,成龙,成龙/姚星彤/廖凡/张蓝心
39,反贪风暴5:最终章,2022,48149.73,中国,动作,动作/犯罪/悬疑,95,林德禄,古天乐/张智霖/郑嘉颖/宣萱/黄宗泽
40,变形金刚4:绝迹重生,2014,197751.1,美国/中国,科幻,科幻/动作/冒险,166,迈克尔·贝/刘静仪,马克·沃尔伯格/妮可拉·佩尔茨/斯坦利·图齐/T·J·米勒
41,变形金刚5:最后的骑士,2017,155124.28,美国,动作,动作/冒险/科幻,150,迈克尔·贝,马克·沃尔伯格/彼特·库伦/伊莎贝拉·莫奈/杰洛·卡迈克尔
42,叶问3,2016,77028.44,中国,动作,动作/传记/历史,110,叶伟信,甄子丹/能黛林/张晋/谭耀文
